"","SRR1275356","SRR1274090","SRR1275251","SRR1275287","SRR1275364","SRR1275269","SRR1275263","SRR1275242","SRR1275338","SRR1274117","SRR1274089","SRR1275248","SRR1275345","SRR1274125","SRR1275270","SRR1275300","SRR1275294","SRR1274122","SRR1275299","SRR1275277","SRR1275370","SRR1275293","SRR1274128","SRR1275348","SRR1275245","SRR1274084","SRR1275335","SRR1275342","SRR1275363","SRR1275280","SRR1275264","SRR1275369","SRR1274131","SRR1275351","SRR1275256","SRR1275252","SRR1275355","SRR1275258","SRR1275260","SRR1275367","SRR1275284","SRR1275346","SRR1274114","SRR1275241","SRR1275279","SRR1275297","SRR1275273","SRR1274126","SRR1275290","SRR1275274","SRR1274121","SRR1275341","SRR1275336","SRR1274119","SRR1274087","SRR1274113","SRR1275246","SRR1274132","SRR1275267","SRR1275289","SRR1275283","SRR1275360","SRR1275255","SRR1275358","SRR1275352","SRR1274130","SRR1275265","SRR1275368","SRR1275281","SRR1275362","SRR1275257","SRR1275350","SRR1274129","SRR1275292","SRR1275371","SRR1275298","SRR1275276","SRR1274123","SRR1275343","SRR1275334","SRR1274085","SRR1274111","SRR1275349","SRR1275244","SRR1275249","SRR1275344","SRR1274088","SRR1274116","SRR1275243","SRR1275339","SRR1275301","SRR1275295","SRR1275271","SRR1274124","SRR1275250","SRR1275357","SRR1275262","SRR1275365","SRR1275286","SRR1275268","SRR1275361","SRR1275282","SRR1275266","SRR1275288","SRR1274133","SRR1275353","SRR1275254","SRR1275359","SRR1274120","SRR1275275","SRR1275291","SRR1275247","SRR1274086","SRR1274112","SRR1274118","SRR1275337","SRR1275340","SRR1274115","SRR1275347","SRR1274127","SRR1275272","SRR1275278","SRR1275302","SRR1275296","SRR1275354","SRR1275259","SRR1275253","SRR1275285","SRR1275366","SRR1275261"
"ABCC9",215,0,1,53,73,75,38,1,0,26,31,2,6,86,0,3,0,1,136,150,135,27,1,39,171,2,20,131,0,11,1,5,15,6,5,0,3,2,0,1,1,347,0,16,402,227,76,0,1,0,28,9,181,10,2,42,6,0,402,95,216,173,69,3,209,0,43,57,47,4,77,162,5,3,5,4,1,1,7,579,34,35,1,4,51,197,0,0,166,0,96,99,161,0,2,5,13,6,1,13,5,1,5,0,161,6,5,0,0,107,205,50,0,0,0,10,125,85,11,55,2,1,5,2,92,1,122,55,100,349
"ABCD2",0,3,0,3760,0,0,0,0,0,0,195,0,0,0,0,0,66,0,0,0,0,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,492,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,0
"ABCD3",0,0,0,251,0,0,0,0,0,1,2,2,0,0,0,5,0,0,278,0,0,0,0,0,0,0,0,59,0,0,0,0,18,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,65,0,0,216,50,12,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,2,1,0,0,0,591,1,0,0,0,0,19,0,0,2,0,469,0,0,0,4,20,0,0,0,0,0,0,0,0,20,9,22,0,0,0,4,0,10,71,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"ABCD4",0,45,0,910,0,0,26,0,0,117,2352,2,0,4,0,59,0,9,1838,677,0,0,0,0,0,0,2,0,0,0,1,84,268,0,0,0,0,0,0,0,0,0,0,0,66,0,16,0,0,1,497,0,0,0,29,0,0,2,1,0,0,0,0,5,31,0,0,0,88,0,0,6,1,0,0,0,11,2906,0,8,2,1081,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,4,0,35,16,4,0,0,0,437,0,67,0,20,4,0,0,1,0,1,0,23,0,0,157,0,0,2,0,0
"ABCE1",0,0,0,1786,0,3621,0,0,199,560,13,0,0,0,152,0,0,0,50,1,1,0,0,747,2025,19,0,0,0,54,0,0,249,81,0,0,0,0,0,0,12,16,9,0,1895,71,70,0,0,2,0,0,0,981,4563,700,83,4,0,0,414,0,0,0,91,0,36,0,119,0,0,3194,71,0,0,1,39,2,0,0,792,0,41,7,1,0,79,10,187,7,0,947,2768,0,0,0,43,0,1,0,0,2,10,34,906,8,0,0,10,1513,0,0,14,0,13,0,0,417,0,0,62,0,0,32,0,0,0,114,0,946
"ABCF2",0,5,0,2,1,0,0,0,0,18,93,0,0,135,0,0,0,0,0,8,0,0,0,0,0,5,1,29,0,3,0,0,1145,0,0,0,0,0,0,0,0,0,0,1,117,1,17,1,0,2,11,102,0,0,0,18,0,13,0,0,14,0,0,0,0,0,0,9,4,0,0,0,3,0,0,0,0,3688,4,24,0,593,0,0,0,0,0,1,0,0,0,0,240,61,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,12,0,0,3241,6,0,0,9,1,0,0,0,0,0,0,0,0
"ABCF3",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,48,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,1,0,18,0,0
"ABHD10",0,30,0,1933,0,0,0,0,0,1,1709,0,39,1053,0,0,0,0,1,0,0,0,1,344,0,6,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,161,957,11,0,24,1,0,2,0,0,1299,0,0,0,3,0,0,0,1314,0,6,0,24,0,0,0,0,287,2,0,3,0,3513,0,262,575,0,23,0,0,1003,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,59,311,0,0,30,0,0,57,3,9,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
"ABHD11",0,3,0,0,0,0,0,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,19,532,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,68,92,0,0,8,0,37,0,0,0,0,0,0,0,0,0,113,0,0,4,0,0,2,0,0,0,0,1,41,0,0,0,1,0,0,0,0,122,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,188,0,0,0,0,0,0,0,0,768,0,0,0,5,0,0,0,0,0,0
"ABHD12",0,0,0,0,0,0,0,0,0,50,0,0,119,1,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,33,0,0,0,0,2979,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,174,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD13",0,0,0,0,712,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,42,0,462,0,0,76,0,19,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,0,0,0,9,5,0,0,0,0,0,0,0,551,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABHD14A",0,0,0,0,0,0,0,124,0,84,0,0,0,21,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,16,1976,0,0,1,1,0,0,0,7,0,0,0,691,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,83,0,0,0,0,3,0,160,3,0,0,0,0,0,0,0,31,0,0,0,0
"ABHD17B",10,0,0,0,0,0,0,0,0,0,30,0,0,1113,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,21,0,0,0,0,0,0,190,1,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0
"ABHD17C",0,0,0,0,2151,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,2,0,0,852,0,0,0,0,12,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"ABHD2",1,0,0,1,0,0,335,0,0,0,0,0,0,21,0,0,0,0,39,68,0,0,1,8,0,0,0,1,0,0,15,0,39,0,2,0,0,0,0,0,0,0,0,1,0,98,46,0,0,1,0,0,1,1,0,0,0,1,94,1,0,9,52,286,0,0,0,0,357,0,1,0,0,0,0,5,0,5,0,0,0,1,0,10,0,0,0,1,312,0,0,0,79,0,0,0,0,0,0,2,0,6,0,0,7,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"ABHD3",0,0,0,0,0,768,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,46,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,164,3,3,0,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD4",0,0,0,44,0,0,0,4,0,1,1,0,0,484,0,0,16,0,0,0,0,858,0,155,0,2,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,0,0,0,13,0,0,0,0,0,0,12,2,0,0,0,0,9,0,0,1302,0,0,0,0,0,405,0,0,2,22,0,0,0,0,0,0,1415,206,9,0,0,1,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,77,0,0,31,0,0,775,0,37,5,0,0,0,765,0,0,0,0,0,0,0,0,0,1,0,0
"ABHD5",0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,184,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,57,0,0,0,0,0,207,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
